                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1106,                 4.2064,                 4.2374,                0.00429,                0.84995,                0.01457,                0.00421,                 3.0518,                 4.2515,                 4.1548,              0.0001625,              0.0001625,              0.0001625
                      2,                 3.1287,                 4.1385,                  4.177,                0.00421,                0.85249,                0.03089,                0.00864,                 3.0256,                 4.2407,                 4.1359,             0.00033416,             0.00033416,             0.00033416
                      3,                 3.1717,                 4.0777,                 4.1482,                0.00401,                0.85449,                0.06294,                0.01677,                 2.9122,                 4.1834,                 4.0585,             0.00050235,             0.00050235,             0.00050235
                      4,                 3.0884,                 3.9408,                 4.0806,                0.00344,                0.86461,                0.05821,                0.01368,                  2.678,                 4.0326,                 3.8739,             0.00066708,             0.00066708,             0.00066708
                      5,                 2.9999,                 3.8636,                 4.0066,                0.00363,                0.89524,                0.06529,                0.01718,                 2.7499,                 4.0545,                 3.8886,             0.00082834,             0.00082834,             0.00082834
                      6,                 2.9804,                 3.8434,                 3.8956,                0.00329,                0.66099,                0.01966,                0.00561,                 2.7125,                 3.9854,                 3.5928,             0.00098614,             0.00098614,             0.00098614
                      7,                 2.9276,                 3.7716,                 3.7875,                0.00875,                0.83742,                0.01919,                0.00672,                 3.4185,                  4.418,                 4.4076,              0.0011405,              0.0011405,              0.0011405
                      8,                 2.8839,                 3.7402,                 3.6914,                0.50965,                0.13264,                0.01505,                0.00443,                 2.8234,                 7.0895,                  3.778,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.8986,                  3.734,                 3.6063,                0.52991,                0.02913,                0.01231,                0.00367,                 3.3679,                 4.9199,                  4.532,              0.0011634,              0.0011634,              0.0011634
                     10,                 2.9127,                 3.7115,                 3.5308,                0.28783,                0.23891,                0.02724,                0.00585,                 2.8841,                 6.0169,                 3.5672,               0.001151,               0.001151,               0.001151
                     11,                 2.7498,                 3.6878,                 3.4563,                0.51089,                0.11914,                0.01709,                 0.0044,                 2.8628,                 4.7592,                 3.5404,              0.0011386,              0.0011386,              0.0011386
                     12,                 2.7886,                 3.6686,                  3.417,                 0.5172,                0.08904,                0.02285,                0.00581,                 2.8277,                 5.7101,                 3.4734,              0.0011263,              0.0011263,              0.0011263
                     13,                  2.716,                 3.6012,                 3.3457,                0.27728,                0.07993,                  0.017,                0.00453,                 2.6933,                   6.97,                 3.2815,              0.0011139,              0.0011139,              0.0011139
                     14,                 2.7232,                 3.5063,                 3.2998,                0.28243,                0.10796,                0.01925,                0.00492,                 2.6833,                 5.7684,                 3.3053,              0.0011015,              0.0011015,              0.0011015
                     15,                 2.6517,                 3.5302,                  3.228,                0.31882,                0.19595,                0.03857,                0.00923,                 2.6565,                 5.0444,                 3.2221,              0.0010891,              0.0010891,              0.0010891
                     16,                 2.6381,                 3.5056,                 3.2501,                0.28152,                0.08628,                0.02431,                0.00647,                 2.6358,                  4.665,                 3.1615,              0.0010768,              0.0010768,              0.0010768
                     17,                 2.6679,                 3.4812,                 3.1905,                0.33369,                0.13943,                0.02506,                0.00751,                 2.6041,                 4.8868,                 3.1917,              0.0010644,              0.0010644,              0.0010644
